Category,Topic,HW
1. Variables & Data Types,1.1 Introduction to Variables,0
1. Variables & Data Types,1.2 Declaring Variables,0
1. Variables & Data Types,1.3 Variable Assignments,0
1. Variables & Data Types,1.4 Primitive Data Types,0
Live Coding Recordings,09/02 Live Coding Session,0
Live Coding Recordings,09/04 Live Coding Session,0
Live Coding Recordings,09/09 Live Coding Session,0
Live Coding Recordings,09/11 Live Coding Session,0
Live Coding Recordings,09/14 Live Coding Session,0
Live Coding Recordings,09/16 Live Coding Session,0
Recitation Recordings,recitation 1 part 1_default,0
Recitation Recordings,recitation 1 part 2_default,0
2. Conditionals & Loops,CS1_Command_Line_Arguments,1
2. Conditionals & Loops,CS1_Conditionals,1
2. Conditionals & Loops,CS1_For_Loop,1
2. Conditionals & Loops,CS1_Switch,1
2. Conditionals & Loops,CS1_While_Loop,1
Live Coding Recordings,09/18 Live Coding Session,1
Live Coding Recordings,09/21 Live Coding Session,1
Live Coding Recordings,09/23 Live Coding Session,1
Recitation Recordings,Recitation 2_default,1
3. Arrays,3.1 Introduction to Arrays,2
3. Arrays,3.2 Declaring Arrays,2
3. Arrays,3.3 Using Arrays,2
3. Arrays,3.4 Explicit Array Declaration,2
Live Coding Recordings,9/25 Live Coding Session,2
Live Coding Recordings,9/28 Live Coding Session,2
Live Coding Recordings,9/30 Live Coding Session,2
4. Functions,4.1 Introduction to Functions,3
4. Functions,4.2 Anatomy of a Function,3
4. Functions,4.3 Control Flow with Functions,3
4. Functions,4.4 Method Overloading,3
Live Coding Recordings,10/07 Live Coding Session,3
Live Coding Recordings,10/2 Live Coding Session,3
Live Coding Recordings,10/5 Live Coding Session,3
Recitation Recordings,Recitation 3_default,3
5. Recursion & Searching,Recursive Methods,4
5. Recursion & Searching,Tracing Recursion,4
Live Coding Recordings,10/09 Live Coding Session,4
Live Coding Recordings,10/12 Live Coding Session,4
Live Coding Recordings,10/14 Live Coding Session,4
Recitation Recordings,Recitation 4_ Recursion_default_86c6cc85,4
6. Object Oriented Programming I,1. Intro to Object Oriented Programming,5
6. Object Oriented Programming I,2. Classes & Object Behavior,5
6. Object Oriented Programming I,3. Encapsulation,5
7. Object Oriented Programming II,1. Class Design & Abstraction,5
7. Object Oriented Programming II,2. Abstract Data Types & Interfaces,5
Live Coding Recordings,10/19 Live Coding Session,5
Live Coding Recordings,10/21 Live Coding Session,5
Live Coding Recordings,10/26 Live Coding Session,5
Live Coding Recordings,10/28 Live Coding Session,5
Recitation Recordings,Recitation 5_ Objects_default_ee3cd649_default,5
Live Coding Recordings,10/30 Live Coding Session,6
Live Coding Recordings,11/02 Live Coding Session,6
Live Coding Recordings,11/4 Live Coding Session,6
Recitation Recordings,Recitation 6_ Interfaces_ Linked Lists_ and JUnit_default_4f84620a_default,6
Live Coding Recordings,11/09 Live Coding Session,7
Live Coding Recordings,11/11 Live Coding Session,7
Live Coding Recordings,11/6 Live Coding Session,7
Recitation Recordings,Recitation 7_ 2D arrays and Number Systems_default_bced5299,7
Live Coding Recordings,11/13 Live Coding Session,8
Live Coding Recordings,11/16 Live Coding Session,8
Live Coding Recordings,11/18 Live Coding Session,8
Live Coding Recordings,11/20 Live Coding Session,8
Live Coding Recordings,11/23 Live Coding Session,8
Live Coding Recordings,11/30 Live Coding Session,9
Live Coding Recordings,12/10 (Special Topic) Live Coding Session,9
Live Coding Recordings,12/2 Live Coding Session,9
Live Coding Recordings,12/7 Live Coding Session,9
Live Coding Recordings,12/9 Live Coding Session,9
Exam 1 Review Sessions,CS1_Exam_1_RS_1,-
Exam 1 Review Sessions,CS1_Exam_1_RS_2,-
